Time,Vm,Cai
0,-75.5966016388547,0.000219191642424964
0.02,-75.5966037976933,0.000219165413229165
0.04,-75.5966057731077,0.000219139188461267
0.06,-75.5966075615009,0.000219112968213921
0.26,-75.5966095233662,0.000218851155199947
0.46,-75.5965935981702,0.000218589784793287
0.66,-75.596559708406,0.000218328864682812
1.66,-75.5960211565417,0.000217034080808438
2.66,-75.5950950024945,0.000215750221701081
3.66,-75.5938016483568,0.000214477385430687
4.66,-75.5922249238516,0.000213213455272245
5.66,-75.5903509953646,0.000211959406299804
6.66,-75.5881781262305,0.000210715884157191
7.66,-75.5857198416869,0.000209483059674542
8.66,-75.5829952556419,0.000208260899427653
9.66,-75.5800238746096,0.000207049315805091
10.66,-75.5768240235374,0.000205848214973769
11.66,-75.5734114074794,0.000204657513231676
12.66,-75.569802102707,0.000203477120212835
13.66,-75.5660114689549,0.000202306944295072
14.66,-75.5620534247155,0.000201146896527435
15.66,-75.5579405649301,0.000199996890404547
16.66,-75.5536845010017,0.00019885684053553
17.66,-75.5492960656184,0.000197726661947409
18.66,-75.5447853800883,0.000196606270028703
19.66,-75.5401618793153,0.000195495580659492
20.66,-75.5354343453468,0.000194394510288183
21.66,-75.5306109524823,0.00019330297593973
22.66,-75.5256993133084,0.000192220895203323
23.66,-75.5207065198992,0.00019114818622636
24.66,-75.5156391801565,0.000190084767716298
25.66,-75.5105034508962,0.000189030558944705
26.66,-75.5053050686508,0.000187985479750259
27.66,-75.5000493784256,0.000186949450540441
28.66,-75.4947413604214,0.000185922392292567
29.66,-75.4893856547913,0.000184904226554537
30.66,-75.4839865845797,0.000183894875445352
31.66,-75.4785481770016,0.000182894261655337
32.66,-75.4730741832017,0.000181902308446067
33.66,-75.46756809661,0.00018091893964999
34.66,-75.4620331699987,0.000179944079669794
35.66,-75.4564724313376,0.000178977653477546
36.66,-75.4508886985379,0.000178019586613613
37.66,-75.4452845931687,0.000177069805185397
38.66,-75.4396625532216,0.000176128235865895
39.66,-75.434024844996,0.000175194805892104
40.66,-75.4283735741674,0.000174269443063288
41.66,-75.422710696101,0.000173352075739117
42.66,-75.4170380254639,0.000172442632837704
43.66,-75.4113572451876,0.000171541043833533
44.66,-75.4056699148277,0.000170647238755307
45.66,-75.399977478364,0.000169761148183723
46.66,-75.3942812714802,0.000168882703249167
47.66,-75.3885825283624,0.000168011835629364
48.66,-75.3828823880472,0.00016714847754697
49.66,-75.3771819003547,0.000166292561767111
50.66,-75.3714820314317,0.000165444021594902
